n	10									
Q	2.400	-0.640	-0.374	0.029	-0.414	-0.383	0.059	-0.820	0.269	-0.501
	-0.640	2.690	0.393	-0.279	-0.746	0.081	-0.237	0.315	0.697	-0.116
	-0.374	0.393	1.430	0.072	-0.728	-0.005	0.092	0.093	0.608	0.119
	0.029	-0.279	0.072	2.670	-0.136	-0.202	0.182	0.089	-0.056	-0.805
	-0.414	-0.746	-0.728	-0.136	2.600	0.049	-0.239	0.315	1.040	-0.284
	-0.383	0.081	-0.005	-0.202	0.049	2.360	-0.328	0.100	-0.612	0.145
	0.059	-0.237	0.092	0.182	-0.239	-0.328	3.270	0.314	-0.545	0.121
	-0.820	0.315	0.093	0.089	0.315	0.100	0.314	1.890	0.207	-0.013
	0.269	0.697	0.608	-0.056	1.040	-0.612	-0.545	0.207	2.590	0.202
	-0.501	-0.116	0.119	-0.805	-0.284	0.145	0.121	-0.013	0.202	2.030
mu	0.089	0.135	0.137	0.102	0.012	0.209	0.120	0.056	0.247	0.263
l_1	0.1		u_1	1						
l_2	0.08		u_2	0.9						
l_3	0.15		u_3	0.7						
l_4	0.05		u_4	0.65						
l_5	0		u_5	0.95						
l_6	0		u_6	0.89						
l_7	0		u_7	0.6						
l_8	0.1		u_8	0.77						
l_9	0.15		u_9	1						
l_10	0.06		u_10	0.4						
lambda	0.5									
